Field #,Field Width,Field Name,year
9,1,Federal Guarantee,2021
10,1,"Borrower Race or National Origin, and Ethnicity",2021
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2021
12,1,Borrower Sex,2021
13,1,Co-Borrower Sex,2021
14,1,Number of Units,2021
15,1,Unit - Affordability Category,2021
1,1,Enterprise Flag,2022
2,7,Record Number,2022
3,1,Metropolitan Statistical Area (MSA) Code,2022
4,1,2020 Census Tract - Percent Minority,2022
5,1,Tract Income Ratio,2022
6,1,Borrower Income Ratio,2022
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2022
8,1,Purpose of Loan,2022
9,1,Federal Guarantee,2022
10,1,"Borrower Race or National Origin, and Ethnicity",2022
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2022
12,1,Borrower Sex,2022
13,1,Co-Borrower Sex,2022
14,1,Number of Units,2022
15,1,Unit - Affordability Category,2022
1,1,Enterprise Flag,2023
2,7,Record Number,2023
3,1,Metropolitan Statistical Area (MSA) Code,2023
4,1,2020 Census Tract - Percent Minority,2023
5,1,Tract Income Ratio,2023
6,1,Borrower Income Ratio,2023
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2023
8,1,Purpose of Loan,2023
9,1,Federal Guarantee,2023
10,1,"Borrower Race or National Origin, and Ethnicity",2023
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2023
12,1,Borrower Sex,2023
13,1,Co-Borrower Sex,2023
14,1,Number of Units,2023
15,1,Unit - Affordability Category,2023
1,1,Enterprise Flag,2024
2,8,Record Number,2024
3,1,Metropolitan Statistical Area (MSA) Code,2024
4,1,2020 Census Tract - Percent Minority,2024
5,1,Tract Income Ratio,2024
6,1,Borrower Income Ratio,2024
7,1,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2024
8,1,Purpose of Loan,2024
9,1,Federal Guarantee,2024
10,1,"Borrower Race or National Origin, and Ethnicity",2024
11,1,"Co-Borrower Race or National Origin, and Ethnicity",2024
12,1,Borrower Sex,2024
13,1,Co-Borrower Sex,2024
14,1,Number of Units,2024
15,1,Unit - Affordability Category,2024
