Field #,Field Width,Field Name,year
28,1,Co-Borrower Race or National Origin 4,2016
29,1,Co-Borrower Race or National Origin 5,2016
30,1,Co-Borrower Ethnicity,2016
31,1,Borrower Sex,2016
32,1,Co-Borrower Sex,2016
33,3,Age of Borrower,2016
34,3,Age of Co-Borrower,2016
35,1,Occupancy Code,2016
36,5,Rate Spread,2016
37,1,HOEPA Status,2016
38,1,Property Type,2016
39,1,Lien Status,2016
1,1,Enterprise Flag,2017
2,7,Record Number,2017
3,2,US Postal State Code,2017
4,5,Metropolitan Statistical Area (MSA) Code,2017
5,3,County - 2010 Census,2017
6,6,Census Tract - 2010 Census,2017
7,6,2010 Census Tract - Percent Minority,2017
8,6,2010 Census Tract - Median Income,2017
9,6,Local Area Median Income,2017
10,8,Tract Income Ratio,2017
11,9,Borrower’s (or Borrowers’) Annual Income,2017
12,6,Area Median Family Income (2017),2017
13,8,Borrower Income Ratio,2017
14,9,Acquisition Unpaid Principal Balance (UPB),2017
15,1,Purpose of Loan,2017
16,1,Federal Guarantee,2017
17,2,Number of Borrowers,2017
18,1,First-Time Home Buyer,2017
19,1,Borrower Race or National Origin 1,2017
20,1,Borrower Race or National Origin 2,2017
21,1,Borrower Race or National Origin 3,2017
22,1,Borrower Race or National Origin 4,2017
23,1,Borrower Race or National Origin 5,2017
24,1,Borrower Ethnicity,2017
25,1,Co-Borrower Race or National Origin 1,2017
26,1,Co-Borrower Race or National Origin 2,2017
27,1,Co-Borrower Race or National Origin 3,2017
28,1,Co-Borrower Race or National Origin 4,2017
29,1,Co-Borrower Race or National Origin 5,2017
30,1,Co-Borrower Ethnicity,2017
31,1,Borrower Sex,2017
32,1,Co-Borrower Sex,2017
33,3,Age of Borrower,2017
34,3,Age of Co-Borrower,2017
35,1,Occupancy Code,2017
36,5,Rate Spread,2017
37,1,HOEPA Status,2017
38,1,Property Type,2017
39,1,Lien Status,2017
1,1,Enterprise Flag,2018
2,7,Record Number,2018
3,2,US Postal State Code,2018
4,5,Metropolitan Statistical Area (MSA) Code,2018
5,3,County - 2010 Census,2018
6,6,Census Tract - 2010 Census,2018
7,6,2010 Census Tract - Percent Minority,2018
8,6,2010 Census Tract - Median Income,2018
9,6,Local Area Median Income,2018
10,8,Tract Income Ratio,2018
11,9,Borrower’s (or Borrowers’) Annual Income,2018
12,6,Area Median Family Income (2018),2018
13,8,Borrower Income Ratio,2018
14,9,Acquisition Unpaid Principal Balance (UPB),2018
15,1,Purpose of Loan,2018
16,1,Federal Guarantee,2018
17,2,Number of Borrowers,2018
18,1,First-Time Home Buyer,2018
19,1,Borrower Race or National Origin 1,2018
20,1,Borrower Race or National Origin 2,2018
21,1,Borrower Race or National Origin 3,2018
22,1,Borrower Race or National Origin 4,2018
23,1,Borrower Race or National Origin 5,2018
24,1,Borrower Ethnicity,2018
25,1,Co-Borrower Race or National Origin 1,2018
26,1,Co-Borrower Race or National Origin 2,2018
