Field #,Field Width,Field Name,year
26,1,Non-fully Amortizing Feature - Interest-only,2020
27,1,Non-fully Amortizing Feature - Negative Amortization,2020
28,1,Non-fully Amortizing Feature - Other,2020
29,3,Multifamily Affordable Units - Percent,2020
30,1,Construction Method,2020
31,1,Rural Census Tract,2020
32,1,Lower Mississippi Delta County,2020
33,1,Middle Appalachia County,2020
34,1,Persistent Poverty County,2020
35,1,Area of Concentrated Poverty,2020
36,1,High Opportunity Area,2020
37,1,Qualified Opportunity Zone (QOZ) Census Tract,2020
1,1,Enterprise Flag,2021
2,7,Record Number,2021
3,2,US Postal State Code,2021
4,5,Metropolitan Statistical Area (MSA) Code,2021
5,3,County - 2010 Census,2021
6,6,Census Tract - 2010 Census,2021
7,6,2010 Census Tract - Percent Minority,2021
8,6,2010 Census Tract - Median Income,2021
9,6,Local Area Median Income,2021
10,8,Tract Income Ratio,2021
11,6,Area Median Family Income (2021),2021
12,9,Acquisition Unpaid Principal Balance (UPB),2021
13,1,Purpose of Loan,2021
14,1,Type of Seller Institution,2021
15,1,Federal Guarantee,2021
16,1,Lien Status,2021
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2021
18,1,Date of Mortgage Note,2021
19,3,Term of Mortgage at Origination,2021
20,1,Number of Units,2021
21,6,Interest Rate at Origination,2021
22,9,Note Amount,2021
23,9,Property Value,2021
24,3,Prepayment Penalty Term,2021
25,1,Non-fully Amortizing Feature - Balloon,2021
26,1,Non-fully Amortizing Feature - Interest-only,2021
27,1,Non-fully Amortizing Feature - Negative Amortization,2021
28,1,Non-fully Amortizing Feature - Other,2021
29,3,Multifamily Affordable Units - Percent,2021
30,1,Construction Method,2021
31,1,Rural Census Tract,2021
32,1,Lower Mississippi Delta County,2021
33,1,Middle Appalachia County,2021
34,1,Persistent Poverty County,2021
35,1,Area of Concentrated Poverty,2021
36,1,High Opportunity Area,2021
37,1,Qualified Opportunity Zone (QOZ) Census Tract,2021
1,1,Enterprise Flag,2022
2,7,Record Number,2022
3,2,US Postal State Code,2022
4,5,Metropolitan Statistical Area (MSA) Code,2022
5,3,County - 2020 Census,2022
6,6,Census Tract - 2020 Census,2022
7,6,2020 Census Tract - Percent Minority,2022
8,6,2020 Census Tract - Median Income,2022
9,6,Local Area Median Income,2022
10,8,Tract Income Ratio,2022
11,6,Area Median Family Income (2022),2022
12,9,Acquisition Unpaid Principal Balance (UPB),2022
13,1,Purpose of Loan,2022
14,1,Type of Seller Institution,2022
15,1,Federal Guarantee,2022
16,1,Lien Status,2022
17,6,"Loan-to-Value Ratio (LTV) at Origination, or Combined LTV (CLTV) where available",2022
