Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype
L29,Seller Issuer ID,Numeric,,4,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L30,Property Name,String,,60,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L31,Property Street,String,,55,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L32,Property City,String,,30,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L33,Property State,String,,2,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L34,Property Zip,Numeric,,9,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L35,MSA,Numeric,,5,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L36,Number of Units,Numeric,,4,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L37,Current Principal and Interest Amount,Numeric,9.2,12,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L38,Prepayment Description,String,,245,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L39,Description of Non-Level Adjustment Period,String,,230,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L40,FHA Program Section Code,String,,20,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L41,Insurance Type,String,,1,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L42,As of Date,Date,CCYYMM,6,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L43,Green Status,String,,3,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
L44,Affordable Status,String,,3,mfpldailymni3_MULTIFAMILY POOL AND LOAN NEW ISSUANCE MONTHLY DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0,,
