Item,Data Item,Data Type,Format,Max Length,File,Min_Date,Max_Date,group_id,pandas_dtype,polars_dtype,Data Element,Type,Description
L10,Non-level Payments Indicator,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L11,Mature Loan Certification Flag,Numeric,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L12,Loan Origination Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L13,Initial Endorsement Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L14,Final Endorsement Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L15,Lockout Term,Numeric,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L16,Lockout Period End Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L17,Prepayment Premium Period,Numeric,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L18,Prepayment End Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L19,Interest Approval Date,Date,CCYYMMDD,8,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L20,Pre-Payment Penalty Flag,String,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L21,Original Principal Balance,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L22,UPB at Issuance,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L23,Unpaid Principal Balance,Numeric,9.2,12,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L24,Draw Number,String,,2,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L25,Approved Draw Amount,Numeric,10.2,13,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
L26,Months Delinquent,Numeric,,1,mfplmon3_MULTIFAMILY POOL AND LOAN MONTHLY PORTFOLIO DISCLOSURE Layout V3.1 (May 2022 - Feb 2023).pdf,2022-05-01,2023-02-01,0.0,,,,,
