Item,Data Element,Type,Max Length,Format,Description,Definition,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hnissuesS_layout.pdf,,,TP,,
3,File Create Date,Date,8,YYYYMMDD,,The date that the file is produced.,hnissuesS_layout.pdf,,,TP,,
4,Detail Record Count,Numeric,8,,,"Control total of the total number of records with Record Type =
“PS” in the file.",hnissuesS_layout.pdf,,,TP,,
1,Record Type = HS,Character,2,,,File Header Record,hnissuesS_layout.pdf,,,HS,,
2,Reporting Period,Numeric,6,YYYYMM,,The monthly reporting period for the data in the file.,hnissuesS_layout.pdf,,,HS,,
3,Create Date,Date,8,"YYYYMM
DD",,The date that the file is produced.,hnissuesS_layout.pdf,,,HS,,
1,Record Type = 01,Character,2,,,Quartiles Record,hnissuesS_layout.pdf,,,01,,
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hnissuesS_layout.pdf,,,01,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hnissuesS_layout.pdf,,,01,,
4,Pool Indicator,Character,1,,,Identifies the Issue Type of the pool. Value is H.,hnissuesS_layout.pdf,,,01,,
5,Pool Type,Character,2,,,"The type of Ginnie Mae pool. Appendix 1 provides a listing
of pool types.",hnissuesS_layout.pdf,,,01,,
6,Quartiles,Character,1,,,"Values are:
4 = Maximum (100%) Quartile
3 = 75th Percentage Quartile",hnissuesS_layout.pdf,,,01,,
7,Participation Original Principal Balance (OPB),Numeric,9,6.2,,"The principal balance of the Participation when it was
originated.",hnissuesS_layout.pdf,,,01,,
8,Participation UPB,Numeric,9,6.2,,The current principal balance of the Participation.,hnissuesS_layout.pdf,,,01,,
9,Participation Original Interest Rate,Numeric,6,2.3,,"The interest rate of the HMBS Participation when it was
issued.",hnissuesS_layout.pdf,,,01,,
10,Participation Current Interest Rate,Numeric,6,2.3,,"The interest rate of the HMBS Participation. This is the rate in
effect for the report period.",hnissuesS_layout.pdf,,,01,,
11,Participation Prospective Interest Rate,Numeric,6,2.3,,"The prospective HMBS Participation interest rate. This is the
rate that will be in effect for the next report period.",hnissuesS_layout.pdf,,,01,,
12,HECM Loan Age,Numeric,3,9(3),,"This is the age of the loan associated with a participation in
months from the loan issuance date to the current reporting
period.",hnissuesS_layout.pdf,,,01,Int64,Int64
13,Ratio: Participation UPB/HECM Loan Maximum Claim Amount,Numeric,6,3.2,,"The current Participation UPB divided by the associated
HECM Loan’s Maximum Claim Amount.",hnissuesS_layout.pdf,,,01,,
14,Expected Average Mortgage Interest Rate,Numeric,6,2.3,,"The Expected Average Mortgage Interest Rate is the original
expected average mortgage interest. It is fixed throughout the
life of the loan and is used to determine payments to the
borrower.",hnissuesS_layout.pdf,,,01,,
15,Servicing Fee Set Aside,Numeric,14,11.2,,"The Servicing Fee Set Aside Amount is an amount initially set
aside from the Principal Limit as reported by the issuer.",hnissuesS_layout.pdf,,,01,,
16,Original Funding Age,Numeric,3,9(3),,"The Original Funding Age for each loan is calculated based on
the HECM Original Funding Date value and the Reporting
Period of the data. The Original Funding Date is the date the
loan was first funded.",hnissuesS_layout.pdf,,,01,Int64,Int64
17,Property Valuation Amount,Numeric,14,11.2,,"The Property Valuation Amount is as reported by the issuer at
pool issuance.",hnissuesS_layout.pdf,,,01,,
18,Original Term of Payments,Numeric,3,9(3),,"The Original Term of Payments is the original number of
monthly payments on a term or modified term loan, as of the
Origination Date.",hnissuesS_layout.pdf,,,01,Int64,Int64
19,Property Charges Set Aside Amount,Numeric,14,11.2,,"The Property Charges Set Aside Amount is an amount that a
borrower sets aside at closing to cover property charges such
as taxes, insurance, ground rents, homeowner’s association
fees, as reported by the issuer.",hnissuesS_layout.pdf,,,01,,
20,Property Repair Set Aside Amount,Numeric,14,11.2,,"The Property Repair Set Aside Amount is an amount that a borrower sets aside at closing to cover property repairs, as reported by the issuer.",hnissuesS_layout.pdf,,,01,,
21,Original Available Line of Credit,Numeric,14,11.2,,The original available line of credit amount for the loan.,hnissuesS_layout.pdf,,,01,,
22,Original Draw Amount,Numeric,14,11.2,,"The Original Draw Amount is the original amount drawn on a
line of credit loan.",hnissuesS_layout.pdf,,,01,,
23,Mortgage Margin,Numeric,6,2.3,,"The Mortgage Margin is the percentage points added to the
index rate to determine an ARM's interest rate. The margin is
reported by the issuer at pool issuance.",hnissuesS_layout.pdf,,,01,,
24,Lifetime Floor Rate,Numeric,6,2.3,,"The Lifetime Floor Rate is the minimum interest rate that can
be applied during the loan term.",hnissuesS_layout.pdf,,,01,,
25,Remaining Available Line of Credit,Numeric,14,11.2,,"The Remaining Line of Credit reflects the remaining cash
available to the borrower (net of any tenure or term set asides
as well as any tax, maintenance, insurance or servicing set
asides.",hnissuesS_layout.pdf,,,01,,
26,Monthly Scheduled Payment Amount,Numeric,14,11.2,,"The Monthly Scheduled Payment is the scheduled amount that
is payable to the borrower on a monthly basis.",hnissuesS_layout.pdf,,,01,,
27,Remaining Term of Payments,Numeric,3,9(3),,"The Remaining Term of Payments is the remaining number of
monthly payments on a term or modified term loan.",hnissuesS_layout.pdf,,,01,Int64,Int64
28,Credit Line Set Aside Amount,Numeric,14,11.2,,"The Credit Line Set Aside Amount is the specified amount set
aside at Pool Issue Date for a line of credit.",hnissuesS_layout.pdf,,,01,,
29,Lifetime Interest Rate Change Cap,Numeric,2,9(2),,"The Lifetime Interest Rate Change Cap limits the interest rate
increase over the life of the loan. The value is “5” for 1-Year
adjusting loans; this field is required only for annual adjusting
loans.",hnissuesS_layout.pdf,,,01,Int64,Int64
30,Annual Interest Rate Change Cap,Numeric,2,9(2),,"The Annual Interest Rate Change Cap limits the interest rate
increase over the life of the loan. The value is “2” for 1-Year
adjusting loans; this field is required only for annual adjusting
loans.",hnissuesS_layout.pdf,,,01,Int64,Int64
31,Maximum Interest Rate,Numeric,6,2.3,,"The Maximum Interest Rate is the maximum interest rate on
the note. This field is required only for monthly adjusting
loans.",hnissuesS_layout.pdf,,,01,,
32,Eligible Non-borrowing Spouse Age,Numeric,3,9(3),,"There are up to 3 eligible non-borrowing spouses that can be
associated with each loan. The age is computed using the
Eligible Non-borrowing Spouse’s date of birth and the current
reporting period.",hnissuesS_layout.pdf,,,01,Int64,Int64
33,Initial Remaining Available Line of Credit,Numeric,14,11.2,,"The aggregate line of credit available during the first twelve- month disbursement period to borrowers under certain payment plans. The Initial Remaining Available Line of Credit Amount does not include set asides for the Monthly Servicing Fee, if any, property charges (such as taxes, hazard insurance, ground rents or assessments) or repairs, if any.",hnissuesS_layout.pdf,,,01,,
34,Initial Monthly Scheduled Payment Amount,Numeric,14,11.2,,"The Initial Monthly Scheduled Payment Amount is the
aggregate monthly amount that is payable to HECM
borrowers in a given month under certain types of payment
plans during the first twelve-month disbursement period.",hnissuesS_layout.pdf,,,01,,
1,Record Type = 02,Character,2,,,Various Record,hnissuesS_layout.pdf,,,02,,
2,CUSIP,Character,9,,,"The unique identification number permanently assigned by the
Committee on Uniform Securities Identification Procedures
(CUSIP).",hnissuesS_layout.pdf,,,02,,
3,Pool ID,Character,6,,,"The Ginnie Mae unique identifier for the pool; this is assigned
by Ginnie Mae at pool issuance.",hnissuesS_layout.pdf,,,02,,
