Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
44,25th Percentile WAOLT (Q1),252,254,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
45,Minimum WAOLT (Q0),255,257,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
46,WAGM (AR pool type only),258,262,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
47,Maximum WAGM (Q4),263,267,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
48,75th Percentile WAGM (Q3),268,272,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
49,Median WAGM (Q2),273,277,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
50,25th Percentile WAGM (Q1),278,282,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
51,Minimum WAGM (Q0),283,287,Numeric,5,9(2)v9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,float64,Float64
52,Weighted Average Original LTV,288,290,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
53,Maximum LTV (Q4),291,293,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
54,75th Percentile LTV (Q3),294,296,Numeric,3,9(3),nissues_MBS MONTHLY (NI) – POOL LEVEL Layout V1.1 (Sep 2012 - Jun 2013).pdf,2012-09-01,2013-06-01,D,Int64,Int64
