Item,Data Item,Begin,End,Type,Length,Remarks,File,Min_Date,Max_Date,Record_Type,pandas_dtype,polars_dtype
3,Pool ID,11,16,Character,6,X(6),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,string,String
4,Pool Indicator,17,17,Character,1,X,ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,string,String
5,Pool Type,18,19,Character,2,X(2),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,string,String
6,Issuer ID *,20,23,Numeric,4,9(4),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,Int64,Int64
7,Issue Date,24,31,Numeric,8,9(8),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,Int64,Int64
8,Maturity Date,32,39,Numeric,8,9(8),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,Int64,Int64
9,Original Interest Rate,40,44,Numeric,5,9(2)v9(3),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,float64,Float64
10,Original Aggregate Amount (OAA),45,59,Numeric,15,9(13)v9(2),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,float64,Float64
11,Termination Date,60,67,Numeric,8,9(8),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,Int64,Int64
12,As-Of Date (CCYYMM),68,73,Numeric,6,9(6),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,P,Int64,Int64
1,Record Type Z = File Trailer,1,1,Character,1,X,ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,Z,string,String
2,File Name (GNMA_MBS_TP_XXX_CCYYMM),2,23,Character,22,X(22),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,Z,string,String
3,File Number,24,26,Numeric,3,9(3),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,Z,Int64,Int64
4,Pool Count (Control Total),27,33,Numeric,7,9(7),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,Z,Int64,Int64
5,"Total Record Count in File (All Record Types, Including H and Z records)",34,42,Numeric,9,9(9),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,Z,Int64,Int64
6,As of Date (CCYYMM),43,48,Numeric,6,9(6),ptermmon_POOL TERMINATIONS MONTHLY Layout V1.2 (Apr 2020 - Present).pdf,2020-04-01,2099-12-31,Z,Int64,Int64
